,사업장명,지역(구)
508,W PT STUDIO,광진구
509,토니바디PT& 건대점,광진구
510,coworker(코워커),광진구
511,에이투짐(A2GYM),광진구
512,군자역점 스포애니 주)케이디스포츠,광진구
513,몸가짐 휘트니스 구의점,광진구
514,도움pt,광진구
515,어반더핏,광진구
516,휘트니스피플우먼 건대점,광진구
517,임스타핏,광진구
518,토니바디W,광진구
519,토니바디&PT 자양점,광진구
520,원더바디핏,광진구
521,휘트니스베이24시 건대역점,광진구
522,정스짐,광진구
523,마일로짐,광진구
524,우리동네 PT샵,광진구
525,해부학적 운동 군자점,광진구
526,지니 짐,광진구
527,(주)비스코 헬스케어,광진구
528,에이투짐,광진구
529,더프라임PT,광진구
530,휘트니스헬스타운,광진구
531,A's휘트니스여성헬스,광진구
532,나우휘트니스,광진구
533,이지피티스튜디오,광진구
534,크로스핏 라온,광진구
535,골프베이휘트니스,광진구
536,시티짐 군자 필라테스&헬스,광진구
537,휘트니스 타운케이,광진구
538,캐리스타 휘트니스(CALISTA FITNESS),광진구
539,맥 클라우드,광진구
540,핏앤다이어트 30분순환운동,광진구
541,서울특별시 동부여성발전센터,광진구
542,이너라인 GYM,광진구
543,디지피트니스(DGFIT)&골프,금천구
544,광진문화예술회관,광진구
545,커브스 자양클럽,광진구
546,앨리스 핏,광진구
547,클레어 필라테스&PT 건대점,광진구
548,피티니스,광진구
549,구의역점 스포애니 주)케이디스포츠,광진구
550,짐에잇,광진구
551,스포애니 신설동역점,동대문구
552,머슬아카데미 GYM,동대문구
553,상승짐,동대문구
554,머슬랭PT,동대문구
555,JO. P.T. GYM,동대문구
556,HATTE PT STUDIO,동대문구
557,휴맥스 짐,동대문구
558,어메이징휘트니스,동대문구
559,직선 퍼스널트레이닝(장안점),동대문구
560,제프짐,동대문구
561,에이치짐투,동대문구
562,장안휘트니스센터,동대문구
563,나봄PT&필라테스,동대문구
564,체크핏,동대문구
565,하나더 짐,동대문구
566,주식회사 엠휘트니스4,동대문구
567,fitpoint gym,동대문구
568,원오원짐,동대문구
569,조인성퍼스널트레이닝 운동과학센터(회기점),동대문구
570,루아짐,동대문구
571,밤 피티 앤 필라테스,동대문구
572,브이엠휘트니스,동대문구
573,빛나짐,동대문구
574,HEY HONEY WORKOUT!,동대문구
575,조피티짐,동대문구
576,에이치짐 PT,동대문구
577,회기동헬스학교 경희대학교점,동대문구
578,어메이징 휘트니스,동대문구
579,브이엠휘트니스 청량리점,동대문구
580,소울핏,동대문구
581,피트니스131,동대문구
582,빌리프짐 회기점,동대문구
583,메이크픽스짐,동대문구
584,제네핏(Genefit),동대문구
585,triofit,동대문구
586,버닝타임짐,동대문구
587,크로스핏 온앤온,동대문구
588,쿰짐(제이벌스),동대문구
589,FITNESS K,동대문구
590,클 필라테스 플러스 피티,동대문구
591,we body gym(위바디짐),동대문구
592,회기동 헬스학교,동대문구
593,태정헬스,동대문구
594,동아헬스,동대문구
595,크로스핏(헬스),동대문구
596,헬스파크,동대문구
597,에센휘트니스 크럽,동대문구
598,삼성휘트니스클럽,동대문구
